date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:27:44	84147/84147	--FM--	200	added ('OK')	text/html		file:///D:/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/index.php/index.html	D:/ramdan/computershop/gala6/file/D_/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/index.php/index.html	(from )
18:27:45	85/85	---M--	200	added ('OK')	text/css	etag:%2255-4a9a525b29080%22	http://demo.galathemes.com/gala-joluta/skin/frontend/galajoluta/red/css/styles.css	D:/ramdan/computershop/gala6/demo.galathemes.com/gala-joluta/skin/frontend/galajoluta/red/css/styles.css	(from )
18:27:45	5622/5622	--FM--	200	added ('OK')	text/css		file:///D:/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/skin/frontend/galajoluta/default/css/widgets.css	D:/ramdan/computershop/gala6/file/D_/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/skin/frontend/galajoluta/default/css/widgets.css	(from )
18:27:45	12746/12746	--FM--	200	added ('OK')	text/css		file:///D:/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/skin/frontend/galajoluta/default/css/em_megamenu.css	D:/ramdan/computershop/gala6/file/D_/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/skin/frontend/galajoluta/default/css/em_megamenu.css	(from )
18:27:45	1505/1505	--FM--	200	added ('OK')	text/css		file:///D:/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/skin/frontend/galajoluta/default/css/em_productlabels.css	D:/ramdan/computershop/gala6/file/D_/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/skin/frontend/galajoluta/default/css/em_productlabels.css	(from )
18:27:45	868/868	--FM--	200	added ('OK')	text/css		file:///D:/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/skin/frontend/base/default/css/em_quickshop.css	D:/ramdan/computershop/gala6/file/D_/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/skin/frontend/base/default/css/em_quickshop.css	(from )
18:27:45	11534/11534	--FM--	200	added ('OK')	text/css		file:///D:/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/skin/frontend/base/default/css/jquery.fancybox-1.3.4.css	D:/ramdan/computershop/gala6/file/D_/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/skin/frontend/base/default/css/jquery.fancybox-1.3.4.css	(from )
18:27:45	5110/5110	--FM--	200	added ('OK')	text/css		file:///D:/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/skin/frontend/galajoluta/default/slideshowwidget/css/wt-rotator.css	D:/ramdan/computershop/gala6/file/D_/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/skin/frontend/galajoluta/default/slideshowwidget/css/wt-rotator.css	(from )
18:27:45	1569/1569	--FM--	200	added ('OK')	text/css		file:///D:/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/skin/frontend/galajoluta/default/css/print.css	D:/ramdan/computershop/gala6/file/D_/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/skin/frontend/galajoluta/default/css/print.css	(from )
18:27:46	129960/129960	--FM--	200	added ('OK')	application/x-javascript		file:///D:/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/js/prototype/prototype.js	D:/ramdan/computershop/gala6/file/D_/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/js/prototype/prototype.js	(from )
18:27:46	747/747	--FM--	200	added ('OK')	application/x-javascript		file:///D:/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/js/lib/ccard.js	D:/ramdan/computershop/gala6/file/D_/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/js/lib/ccard.js	(from )
18:27:46	37422/37422	--FM--	200	added ('OK')	application/x-javascript		file:///D:/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/js/prototype/validation.js	D:/ramdan/computershop/gala6/file/D_/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/js/prototype/validation.js	(from )
18:27:46	4744/4744	--FM--	200	added ('OK')	application/x-javascript		file:///D:/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/js/scriptaculous/builder.js	D:/ramdan/computershop/gala6/file/D_/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/js/scriptaculous/builder.js	(from )
18:27:46	38745/38745	--FM--	200	added ('OK')	application/x-javascript		file:///D:/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/js/scriptaculous/effects.js	D:/ramdan/computershop/gala6/file/D_/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/js/scriptaculous/effects.js	(from )
18:27:46	9975/9975	---M--	200	added ('OK')	image/png	etag:%2226f7-4a9c0e0224580%22	http://demo.galathemes.com/gala-joluta/skin/frontend/galajoluta/red/images/logo.png	D:/ramdan/computershop/gala6/demo.galathemes.com/gala-joluta/skin/frontend/galajoluta/red/images/logo.png	(from )
18:27:46	31192/31192	--FM--	200	added ('OK')	application/x-javascript		file:///D:/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/js/scriptaculous/dragdrop.js	D:/ramdan/computershop/gala6/file/D_/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/js/scriptaculous/dragdrop.js	(from )
18:27:46	34797/34797	--FM--	200	added ('OK')	application/x-javascript		file:///D:/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/js/scriptaculous/controls.js	D:/ramdan/computershop/gala6/file/D_/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/js/scriptaculous/controls.js	(from )
18:27:46	10331/10331	--FM--	200	added ('OK')	application/x-javascript		file:///D:/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/js/scriptaculous/slider.js	D:/ramdan/computershop/gala6/file/D_/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/js/scriptaculous/slider.js	(from )
18:27:46	21537/21537	--FM--	200	added ('OK')	application/x-javascript		file:///D:/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/js/varien/js.js	D:/ramdan/computershop/gala6/file/D_/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/js/varien/js.js	(from )
18:27:46	11714/11714	--FM--	200	added ('OK')	application/x-javascript		file:///D:/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/js/varien/form.js	D:/ramdan/computershop/gala6/file/D_/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/js/varien/form.js	(from )
18:27:46	4426/4426	--FM--	200	added ('OK')	application/x-javascript		file:///D:/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/js/varien/menu.js	D:/ramdan/computershop/gala6/file/D_/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/js/varien/menu.js	(from )
18:27:46	1597/1597	--FM--	200	added ('OK')	application/x-javascript		file:///D:/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/js/mage/translate.js	D:/ramdan/computershop/gala6/file/D_/ramdan/computershop/gala2/demo.galathemes.com/gala-joluta/js/mage/translate.js	(from )
